name,point_score,symbol,draw_chance,amount,draw_elements,pattern
frog,2,res://assets/animals/symbols/frog.png,20,2,5,0:0=wetlands[1]|1:0=river[*]
bee,2,res://assets/animals/symbols/bee.png,10,2,2,0:0=field[0]|0:-1=field[1]
bear,4,res://assets/animals/symbols/bear.png,10,1,3,0:0=mountain[1]|-1:0=forest[1]|0:-1=forest[1]
fish,3,res://assets/animals/symbols/fish.png,20,2,4,0:0=river[*]|1:0=river[*]|2:0=river[*]
deer,5,res://assets/animals/symbols/deer.png,10,1,1,0:0=forest[1]|1:-1=forest[1]|0:1=field[0]
crocodile,4,res://assets/animals/symbols/crocodile.png,20,1,5,0:0=wetlands[1]|1:0=river[*]|2:0=river[*]
rabbit,5,res://assets/animals/symbols/rabbit.png,10,1,1,0:0=forest[0]|1:0=forest[0]|2:0=field[0]
otter,5,res://assets/animals/symbols/otter.png,20,1,4,0:0=river[0]|1:0=forest[0]|2:0=forest[0]
kingfisher,5,res://assets/animals/symbols/kingfisher.png,10,1,1,0:0=forest[2]|1:-1=river[*]|0:1=river[*]
crow,4,res://assets/animals/symbols/crow.png,10,1,1,0:0=forest[1]|1:-1=field[1]|0:1=field[1]
wolf,5,res://assets/animals/symbols/wolf.png,10,1,2,0:0=field[0]|1:-1=forest[1]|0:1=forest[1]
mouse,5,res://assets/animals/symbols/mouse.png,10,1,2,0:0=field[0]|1:-1=forest[0]|0:1=forest[0]
peacock,5,res://assets/animals/symbols/peacock.png,10,1,2,0:0=field[0]|1:-1=river[*]|0:1=river[*]
penguin,4,res://assets/animals/symbols/penguin.png,10,1,3,0:0=mountain[1]|1:-1=river[*]|0:1=river[*]
panther,5,res://assets/animals/symbols/panther.png,10,1,2,0:0=field[0]|1:0=forest[1]|2:0=forest[1]
boar,4,res://assets/animals/symbols/boar.png,10,1,1,0:0=forest[1]|0:-1=field[1]
eagle,5,res://assets/animals/symbols/eagle.png,10,1,3,0:0=mountain[2]|0:-1=field[0]
squirrel,4,res://assets/animals/symbols/squirrel.png,10,1,1,0:0=forest[1]|0:-1=forest[1]
raccoon,6,res://assets/animals/symbols/raccoon.png,10,1,2,0:0=field[1]|1:-1=river[*]|0:1=river[*]|1:0=river[*]
macaque,5,res://assets/animals/symbols/macaque.png,10,1,3,0:0=mountain[1]|-1:0=river[*]|0:-1=river[*]
llama,5,res://assets/animals/symbols/llama.png,10,1,3,0:0=mountain[1]|1:0=field[1]|2:0=field[1]
meerkat,4,res://assets/animals/symbols/meerkat.png,10,1,3,0:0=mountain[0]|1:0=mountain[0]|2:0=field[0]
gecko,5,res://assets/animals/symbols/gecko.png,20,1,5,0:0=wetlands[1]|1:0=field[0]|2:0=field[0]
snake,5,res://assets/animals/symbols/snake.png,20,1,5,0:0=wetlands[0]|-1:0=forest[1]|0:-1=forest[1]
crab,4,res://assets/animals/symbols/crab.png,20,1,4,0:0=river[*]|-1:0=mountain[1]|0:-1=mountain[1]
flamingo,4,res://assets/animals/symbols/flamingo.png,20,1,4,0:0=river[*]|-1:0=field[1]|0:-1=field[1]
parrot,4,res://assets/animals/symbols/parrot.png,10,1,1,0:0=forest[1]|-1:0=river[*]|0:-1=river[*]
monkey,4,res://assets/animals/symbols/monkey.png,10,1,1,0:0=forest[2]|-1:0=forest[1]|0:-1=forest[1]
duck,2,res://assets/animals/symbols/duck.png,20,2,5,0:0=wetlands[0]|1:0=mountain[0]
salmon,3,res://assets/animals/symbols/salmon.png,20,2,4,0:0=river[*]|1:0=mountain[2]
ladybug,2,res://assets/animals/symbols/ladybug.png,10,2,2,0:0=field[0]|0:-1=forest[0]
lemming ,2,res://assets/animals/symbols/lemming .png,10,2,3,0:0=mountain[0]|0:-1=field[0]
koala,3,res://assets/animals/symbols/koala.png,10,2,1,0:0=forest[1]|0:-1=forest[0]
bat,3,res://assets/animals/symbols/bat.png,10,2,3,0:0=mountain[1]|0:-1=forest[2]
snowleopard,5,res://assets/animals/symbols/snowleopard.png,10,1,1,0:0=mountain[2]|1:-1=mountain[1]|0:1=mountain[1]
sheep,3,res://assets/animals/symbols/sheep.png,10,1,2,0:0=field[0]|-1:0=forest[0]|0:-1=forest[0]
cow,4,res://assets/animals/symbols/cow.png,10,1,2,0:0=field[1]|-1:0=mountain[0]|0:-1=mountain[0]
horse,5,res://assets/animals/symbols/horse.png,10,1,2,0:0=field[0]|1:0=field[0]|2:0=field[0]
mountaingoat,4,res://assets/animals/symbols/mountaingoat.png,10,1,3,0:0=mountain[1]|0:-1=mountain[2]
condor,3,res://assets/animals/symbols/condor.png,10,1,3,0:0=mountain[2]|-1:0=field[0]|0:-1=field[0]
