map_size,difficulty,map_rings,unlock_steps
0,0,6,1:0|1:80|1:180
0,1,6,1:0|1:110|1:240
0,2,6,1:0|1:140|1:300
0,3,6,1:0|1:170|1:360
0,4,6,1:0|1:200|1:420
1,0,8,1:0|1:90|1:210|1:360
1,1,8,1:0|1:120|1:260|1:430
1,2,8,1:0|1:150|1:320|1:500
1,3,8,1:0|1:180|1:380|1:580
1,4,8,1:0|1:210|1:440|1:660
2,0,10,1:0|1:100|1:240|1:420|1:650
2,1,10,1:0|1:130|1:290|1:490|1:760
2,2,10,0:0|2:1|1:75|3:200|3:500|0:inf
2,3,10,1:0|1:200|1:420|1:680|1:1000
2,4,10,1:0|1:240|1:500|1:800|1:1200
3,0,12,1:0|1:120|1:280|1:500|1:760|1:1080
3,1,12,1:0|1:160|1:340|1:590|1:860|1:1220
3,2,12,1:0|1:200|1:400|1:680|1:980|1:1380
3,3,12,1:0|1:240|1:480|1:800|1:1140|1:1600
3,4,12,1:0|1:280|1:560|1:920|1:1300|1:1820
4,0,14,1:0|1:140|1:320|1:560|1:840|1:1160|1:1520
4,1,14,1:0|1:190|1:400|1:660|1:980|1:1360|1:1760
4,2,14,1:0|1:240|1:470|1:760|1:1120|1:1540|1:1980
4,3,14,1:0|1:290|1:560|1:900|1:1300|1:1760|1:2240
4,4,14,1:0|1:340|1:650|1:1040|1:1480|1:1980|1:2500
